Dak Prescott Cowboys East NFC QB 28 74 4
Ezekiel Elliott Cowboys East NFC RB 26 72 21
CeeDee Lamb Cowboys East NFC WR 23 74 88
Dalton Schultz Cowboys East NFC TE 25 77 86
Jalen Hurts Eagles East NFC QB 23 73 1
Miles Sanders Eagles East NFC RB 24 71 23
DeVonta Smith Eagles East NFC WR 23 72 6
Dallas Goedert Eagles East NFC TE 27 77 88
Taylor Heinicke Commanders East NFC QB 29 73 4
Antonio Gibson Commanders East NFC RB 23 74 24 
Terry McLaurin Commanders East NFC WR 26 72 17
Logan Thomas Commanders East NFC TE 30 78 82
Justin Fields Bears North NFC QB 23 75 1
David Montgomery Bears North NFC RB 24 71 32
Darnell Mooney Bears North NFC WR  24 71 11
Cole Kmet Bears North NFC TE 23 78 85
Jared Goff Lions North NFC QB 27 76 16
DAndre Swift Lions North NFC RB 23 69 32
DJ Chark Lions North NFC WR 25 76 17
TJ Hockenson Lions North NFC TE 24 77 88
Aaron Rodgers Packers North NFC QB 38 74 12
Aaron Jones Packers North NFC RB 27 69 33
Randall Cobb Packers North NFC WR 31 70 18
Robert Tonyan Packers North NFC TE 27 77 85
Kirk Cousins Vikings North NFC QB 33 75 8
Dalvin Cook Vikings North NFC RB 26 70 4
Justin Jefferson Vikings North NFC WR 22 73 18 
Irv Smith Vikings North NFC TE 23 74 84 
Marcus Mariota Falcons South NFC QB 28 76 8
Cordarelle Patterson Falcons South NFC RB 31 74 84
Calvin Ridley Falcons South NFC WR 27 73 18 
Kyle Pitts Falcons South NFC TE 21 78 8
Sam Darnold Panthers South NFC QB 24 75 14
Christian McCaffrey Panthers South NFC RB 25 71 22
DJ Moore Panthers South NFC WR 25 72 2
Ian Thomas Panthers South NFC TE 25 76 80
Jameis Winston Saints South NFC QB 28 76 2
Alvin Kamara Saints South NFC RB 26 70 41
Michael Thomas Saints South NFC WR 29 75 13
Adam Trautman Saints  South NFC TE 25 77 82
Tom Brady Buccaneers South NFC QB 44 76 12
Leonard Fournette Buccaneers South NFC RB 27 72 7
Mike Evans Buccaneers South NFC WR 28 77 13 
Rob Gronkowski Buccaneers South NFC TE 32 78 87
Kyler Murray Cardinals West NFC QB 24 70 1
James Conner Cardinals West NFC RB 26 73 6
DeAndre Hopkins Cardinals West NFC WR 29 73 10
Zach Ertz Cardinals West NFC TE 31 77 86
Matthew Stafford Rams West NFC QB 34 75 9
Cam Akers Rams West NFC RB 22 70 23
Cooper Kupp Rams West NFC WR 28 74 10
Tyler Higbee Rams West NFC TE 29 78 89
Jimmy Garoppolo 49ers West NFC QB 30 74 10 
Elijah Mitchell 49ers West NFC RB 23 70 25
Deebo Samuel 49ers West NFC WR 26 72 19
George Kittle 49ers West NFC TE 28 76 85
Drew Lock Seahawks West NFC QB 25 76 2 
Chris Carson Seahawks West NFC RB 27 71 32 
DK Metcalf Seahawks West NFC WR 24 76 14
Noah Fant Seahawks West NFC TE 24 76 87  
